timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,3d_close_time,3d_open_time,3d_open,3d_high,3d_low,3d_close,3d_quote_asset_volume,3d_number_of_trades,3d_taker_buy_base_asset_volume,3d_taker_buy_quote_asset_volume,3d_volume,3d_open_time_day,3d_open_time_month,3d_open_time_year,3d_open_time_hour,3d_open_time_minute,3d_close_time_day,3d_close_time_month,3d_close_time_year,3d_close_time_hour,3d_close_time_minute
2017-08-17,4261.48,4485.39,3850.0,4139.98,2376.348404,1503187199999,10091212.09232508,10813,1863.453293,7925341.58720944,0,2017-08-19 23:59:59,2017-08-17,4261.48,4485.39,3850.0,4139.98,10091212.09232508,10813,1863.453293,7925341.58720944,2376.348404,17,8,2017,0,0,19,8,2017,23,59
2017-08-20,4120.98,4211.08,3400.0,4040.0,2125.51094,1503446399999,8480101.87649425,12787,1358.147235,5450252.25623793,0,2017-08-22 23:59:59,2017-08-20,4120.98,4211.08,3400.0,4040.0,8480101.87649425,12787,1358.147235,5450252.25623793,2125.51094,20,8,2017,0,0,22,8,2017,23,59
2017-08-23,4040.0,4453.91,4013.89,4280.68,2362.168058,1503705599999,9929800.22834771,21430,616.337478,2596523.29507228,0,2017-08-25 23:59:59,2017-08-23,4040.0,4453.91,4013.89,4280.68,9929800.22834771,21430,616.337478,2596523.29507228,2362.168058,23,8,2017,0,0,25,8,2017,23,59
2017-08-26,4280.71,4400.0,4124.54,4386.69,1182.642269,1503964799999,5091106.3211572,10279,300.629281,1296170.18598594,0,2017-08-28 23:59:59,2017-08-26,4280.71,4400.0,4124.54,4386.69,5091106.3211572,10279,300.629281,1296170.18598594,1182.642269,26,8,2017,0,0,28,8,2017,23,59
2017-08-29,4353.65,4745.42,4313.55,4724.89,1968.970601,1504223999999,8946077.14650298,13871,471.452144,2150944.79209775,0,2017-08-31 23:59:59,2017-08-29,4353.65,4745.42,4313.55,4724.89,8946077.14650298,13871,471.452144,2150944.79209775,1968.970601,29,8,2017,0,0,31,8,2017,23,59
2017-09-01,4689.89,4939.19,4286.87,4509.08,2181.031159,1504483199999,10043942.25636497,17497,756.794502,3474233.20791163,0,2017-09-03 23:59:59,2017-09-01,4689.89,4939.19,4286.87,4509.08,10043942.25636497,17497,756.794502,3474233.20791163,2181.031159,1,9,2017,0,0,3,9,2017,23,59
2017-09-04,4505.0,4662.87,3603.0,4619.77,3430.946497,1504742399999,14619746.73228368,27357,1534.999979,6577892.1934445,0,2017-09-06 23:59:59,2017-09-04,4505.0,4662.87,3603.0,4619.77,14619746.73228368,27357,1534.999979,6577892.1934445,3430.946497,4,9,2017,0,0,6,9,2017,23,59
2017-09-07,4619.77,4788.59,4028.93,4258.81,2291.467973,1505001599999,9987705.8284635,11580,994.635873,4349203.5407363,0,2017-09-09 23:59:59,2017-09-07,4619.77,4788.59,4028.93,4258.81,9987705.8284635,11580,994.635873,4349203.5407363,2291.467973,7,9,2017,0,0,9,9,2017,23,59
2017-09-10,4258.81,4394.59,3801.0,4163.72,2239.992659,1505260799999,9382405.1939831,14164,1065.765887,4466769.01611921,0,2017-09-12 23:59:59,2017-09-10,4258.81,4394.59,3801.0,4163.72,9382405.1939831,14164,1065.765887,4466769.01611921,2239.992659,10,9,2017,0,0,12,9,2017,23,59
2017-09-13,4159.72,4165.38,2817.0,3700.0,4547.35058,1505519999999,16073394.5170194,24530,2090.329634,7373884.545647,0,2017-09-15 23:59:59,2017-09-13,4159.72,4165.38,2817.0,3700.0,16073394.5170194,24530,2090.329634,7373884.545647,4547.35058,13,9,2017,0,0,15,9,2017,23,59
2017-09-16,3674.01,4123.2,3470.66,4035.01,3009.741618,1505779199999,11340401.58296612,23384,1316.45854,4961243.03443733,0,2017-09-18 23:59:59,2017-09-16,3674.01,4123.2,3470.66,4035.01,11340401.58296612,23384,1316.45854,4961243.03443733,3009.741618,16,9,2017,0,0,18,9,2017,23,59
2017-09-19,4060.0,4089.97,3567.0,3609.99,2624.921289,1506038399999,10154942.7287394,23287,1169.854416,4525252.67035195,0,2017-09-21 23:59:59,2017-09-19,4060.0,4089.97,3567.0,3609.99,10154942.7287394,23287,1169.854416,4525252.67035195,2624.921289,19,9,2017,0,0,21,9,2017,23,59
2017-09-22,3592.84,3817.19,3505.55,3660.02,2253.395606,1506297599999,8277266.86864401,25278,1233.945749,4534748.08219734,0,2017-09-24 23:59:59,2017-09-22,3592.84,3817.19,3505.55,3660.02,8277266.86864401,25278,1233.945749,4534748.08219734,2253.395606,22,9,2017,0,0,24,9,2017,23,59
2017-09-25,3660.02,4249.94,3653.69,4193.0,1882.893666,1506556799999,7399996.24633432,26084,872.493083,3446536.22933336,0,2017-09-27 23:59:59,2017-09-25,3660.02,4249.94,3653.69,4193.0,7399996.24633432,26084,872.493083,3446536.22933336,1882.893666,25,9,2017,0,0,27,9,2017,23,59
2017-09-28,4192.11,4380.0,3952.01,4378.51,3172.448073,1506815999999,13213279.63021966,35584,1317.89238,5490161.39584995,0,2017-09-30 23:59:59,2017-09-28,4192.11,4380.0,3952.01,4378.51,13213279.63021966,35584,1317.89238,5490161.39584995,3172.448073,28,9,2017,0,0,30,9,2017,23,59
2017-10-01,4378.49,4561.63,4180.8,4310.0,2465.044222,1507075199999,10669849.41039181,30380,1074.252491,4657714.86758554,0,2017-10-03 23:59:59,2017-10-01,4378.49,4561.63,4180.8,4310.0,10669849.41039181,30380,1074.252491,4657714.86758554,2465.044222,1,10,2017,0,0,3,10,2017,23,59
2017-10-04,4314.9,4417.0,4110.0,4369.0,2154.132915,1507334399999,9183983.04866909,26710,870.118973,3708695.80555265,0,2017-10-06 23:59:59,2017-10-04,4314.9,4417.0,4110.0,4369.0,9183983.04866909,26710,870.118973,3708695.80555265,2154.132915,4,10,2017,0,0,6,10,2017,23,59
2017-10-07,4369.0,4889.98,4312.56,4786.95,1462.522649,1507593599999,6690398.58840322,22756,776.164489,3560082.32557924,0,2017-10-09 23:59:59,2017-10-07,4369.0,4889.98,4312.56,4786.95,6690398.58840322,22756,776.164489,3560082.32557924,1462.522649,7,10,2017,0,0,9,10,2017,23,59
2017-10-10,4786.95,5439.99,4680.59,5430.0,3073.352651,1507852799999,15313284.06370867,25892,2015.515368,10026259.07886533,0,2017-10-12 23:59:59,2017-10-10,4786.95,5439.99,4680.59,5430.0,15313284.06370867,25892,2015.515368,10026259.07886533,3073.352651,10,10,2017,0,0,12,10,2017,23,59
2017-10-13,5439.99,5922.3,5379.84,5709.99,4194.110041,1508111999999,23684962.9883727,25374,1913.855342,10803338.27469535,0,2017-10-15 23:59:59,2017-10-13,5439.99,5922.3,5379.84,5709.99,23684962.9883727,25374,1913.855342,10803338.27469535,4194.110041,13,10,2017,0,0,15,10,2017,23,59
2017-10-16,5710.0,5788.91,5037.95,5512.06,5276.670211,1508371199999,29200487.09038963,33732,2447.607792,13553471.92971727,0,2017-10-18 23:59:59,2017-10-16,5710.0,5788.91,5037.95,5512.06,29200487.09038963,33732,2447.607792,13553471.92971727,5276.670211,16,10,2017,0,0,18,10,2017,23,59
2017-10-19,5513.0,6171.0,5490.26,6024.97,5519.00702,1508630399999,32210742.4024537,33391,2495.232266,14559488.79599935,0,2017-10-21 23:59:59,2017-10-19,5513.0,6171.0,5490.26,6024.97,32210742.4024537,33391,2495.232266,14559488.79599935,5519.00702,19,10,2017,0,0,21,10,2017,23,59
2017-10-22,6003.27,6080.0,5450.0,5477.03,5755.068698,1508889599999,33207102.20464356,32657,2421.689538,13960593.14948539,0,2017-10-24 23:59:59,2017-10-22,6003.27,6080.0,5450.0,5477.03,33207102.20464356,32657,2421.689538,13960593.14948539,5755.068698,22,10,2017,0,0,24,10,2017,23,59
2017-10-25,5506.92,5980.0,5286.98,5768.83,5659.485503,1509148799999,32129044.26391793,31760,2505.918732,14237033.54828346,0,2017-10-27 23:59:59,2017-10-25,5506.92,5980.0,5286.98,5768.83,32129044.26391793,31760,2505.918732,14237033.54828346,5659.485503,25,10,2017,0,0,27,10,2017,23,59
2017-10-28,5768.79,6248.68,5630.03,6120.5,4555.219628,1509407999999,26959262.93043851,28234,2044.740294,12084275.97007523,0,2017-10-30 23:59:59,2017-10-28,5768.79,6248.68,5630.03,6120.5,26959262.93043851,28234,2044.740294,12084275.97007523,4555.219628,28,10,2017,0,0,30,10,2017,23,59
2017-10-31,6120.52,7300.0,6100.0,7019.98,5691.000916,1509667199999,37807813.24355828,49500,2500.569034,16647595.63074356,0,2017-11-02 23:59:59,2017-10-31,6120.52,7300.0,6100.0,7019.98,37807813.24355828,49500,2500.569034,16647595.63074356,5691.000916,31,10,2017,0,0,2,11,2017,23,59
2017-11-03,7010.31,7590.25,6901.0,7345.01,4498.521689,1509926399999,32679394.00886452,39860,1969.248807,14313654.04555592,0,2017-11-05 23:59:59,2017-11-03,7010.31,7590.25,6901.0,7345.01,32679394.00886452,39860,1969.248807,14313654.04555592,4498.521689,3,11,2017,0,0,5,11,2017,23,59
2017-11-06,7345.1,7770.02,6651.0,7303.0,6025.577557,1510185599999,43338083.15785606,51038,2612.536251,18834148.78252888,0,2017-11-08 23:59:59,2017-11-06,7345.1,7770.02,6651.0,7303.0,43338083.15785606,51038,2612.536251,18834148.78252888,6025.577557,6,11,2017,0,0,8,11,2017,23,59
2017-11-09,7303.01,7392.0,6100.0,6245.05,7922.259274,1510444799999,53563324.99592899,50547,3416.892465,23076139.45745819,0,2017-11-11 23:59:59,2017-11-09,7303.01,7392.0,6100.0,6245.05,53563324.99592899,50547,3416.892465,23076139.45745819,7922.259274,9,11,2017,0,0,11,11,2017,23,59
2017-11-12,6245.05,6697.47,5325.01,6574.99,8844.018639,1510703999999,54378374.67121406,57710,4179.543865,25788840.69252652,0,2017-11-14 23:59:59,2017-11-12,6245.05,6697.47,5325.01,6574.99,54378374.67121406,57710,4179.543865,25788840.69252652,8844.018639,12,11,2017,0,0,14,11,2017,23,59
2017-11-15,6575.99,7989.0,6575.99,7699.19,8093.95852,1510963199999,60969856.32859967,47286,4065.210944,30572241.57131943,0,2017-11-17 23:59:59,2017-11-15,6575.99,7989.0,6575.99,7699.19,60969856.32859967,47286,4065.210944,30572241.57131943,8093.95852,15,11,2017,0,0,17,11,2017,23,59
2017-11-18,7680.01,8319.99,7422.0,8212.0,11708.241269,1511222399999,92224269.47151576,53381,5805.320009,45702900.46530452,0,2017-11-20 23:59:59,2017-11-18,7680.01,8319.99,7422.0,8212.0,92224269.47151576,53381,5805.320009,45702900.46530452,11708.241269,18,11,2017,0,0,20,11,2017,23,59
2017-11-21,8212.49,8400.0,7801.0,8019.99,12183.432413,1511481599999,99599779.05266258,52175,6209.90672,50789691.53883291,0,2017-11-23 23:59:59,2017-11-21,8212.49,8400.0,7801.0,8019.99,99599779.05266258,52175,6209.90672,50789691.53883291,12183.432413,21,11,2017,0,0,23,11,2017,23,59
2017-11-24,8019.97,9350.0,7850.0,9128.02,12851.793031,1511740799999,109071803.49886112,57654,6496.64033,55146739.83385302,0,2017-11-26 23:59:59,2017-11-24,8019.97,9350.0,7850.0,9128.02,109071803.49886112,57654,6496.64033,55146739.83385302,12851.793031,24,11,2017,0,0,26,11,2017,23,59
