timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,1w_close_time,1w_open_time,1w_open,1w_high,1w_low,1w_close,1w_quote_asset_volume,1w_number_of_trades,1w_taker_buy_base_asset_volume,1w_taker_buy_quote_asset_volume,1w_volume,1w_open_time_day,1w_open_time_month,1w_open_time_year,1w_open_time_hour,1w_open_time_minute,1w_close_time_day,1w_close_time_month,1w_close_time_year,1w_close_time_hour,1w_close_time_minute
2017-11-20,8057.11,9350.0,7801.0,9128.02,28921.859792,1511740799999,240238717.93883663,129930,14522.913389,120677884.10182004,0,2017-11-26 23:59:59,2017-11-20,8057.11,9350.0,7801.0,9128.02,240238717.93883663,129930,14522.913389,120677884.10182004,28921.859792,20,11,2017,0,0,26,11,2017,23,59
2017-11-27,9128.0,11825.0,8520.0,11165.41,48427.94965,1512345599999,493261876.5247408,232180,27122.187731,276199673.0556042,0,2017-12-03 23:59:59,2017-11-27,9128.0,11825.0,8520.0,11165.41,493261876.5247408,232180,27122.187731,276199673.0556042,48427.94965,27,11,2017,0,0,3,12,2017,23,59
2017-12-04,11165.41,17204.99,10802.0,14899.98,72469.977627,1512950399999,1022228203.7964908,393420,42089.109532,596373967.6702242,0,2017-12-10 23:59:59,2017-12-04,11165.41,17204.99,10802.0,14899.98,1022228203.7964908,393420,42089.109532,596373967.6702242,72469.977627,4,12,2017,0,0,10,12,2017,23,59
2017-12-11,14946.26,19798.68,14666.56,18860.02,67851.486215,1513555199999,1143594375.3765807,539238,33646.705468,566603311.0514766,0,2017-12-17 23:59:59,2017-12-11,14946.26,19798.68,14666.56,18860.02,1143594375.3765807,539238,33646.705468,566603311.0514766,67851.486215,11,12,2017,0,0,17,12,2017,23,59
2017-12-18,18860.04,19300.0,10961.0,13500.0,135385.440322,1514159999999,1998479799.1145616,1007841,67305.696474,989270027.7844435,0,2017-12-24 23:59:59,2017-12-18,18860.04,19300.0,10961.0,13500.0,1998479799.1145616,1007841,67305.696474,989270027.7844435,135385.440322,18,12,2017,0,0,24,12,2017,23,59
2017-12-25,13500.0,16498.05,11750.0,13716.36,116522.754321,1514764799999,1636613418.331648,1040980,62664.766575,882011540.5347854,0,2017-12-31 23:59:59,2017-12-25,13500.0,16498.05,11750.0,13716.36,1636613418.331648,1040980,62664.766575,882011540.5347854,116522.754321,25,12,2017,0,0,31,12,2017,23,59
2018-01-01,13715.65,17176.24,12750.0,16150.03,120239.399359,1515369599999,1828148890.8541193,1087900,68117.139059,1037992795.2494292,0,2018-01-07 23:59:59,2018-01-01,13715.65,17176.24,12750.0,16150.03,1828148890.8541193,1087900,68117.139059,1037992795.2494292,120239.399359,1,1,2018,0,0,7,1,2018,23,59
2018-01-08,16218.85,16322.3,11400.0,13474.99,137537.904565,1515974399999,1919927016.0206213,1176645,67529.525725,944460208.0227352,0,2018-01-14 23:59:59,2018-01-08,16218.85,16322.3,11400.0,13474.99,1919927016.0206213,1176645,67529.525725,944460208.0227352,137537.904565,8,1,2018,0,0,14,1,2018,23,59
2018-01-15,13477.98,14249.99,9035.0,11530.0,303127.502137,1516579199999,3434833014.703798,2359135,148847.018392,1689262267.4451878,0,2018-01-21 23:59:59,2018-01-15,13477.98,14249.99,9035.0,11530.0,3434833014.703798,2359135,148847.018392,1689262267.4451878,303127.502137,15,1,2018,0,0,21,1,2018,23,59
2018-01-22,11530.0,12244.0,9900.24,11879.95,198030.051117,1517183999999,2184045152.4962206,1961464,95219.664176,1049772766.2931716,0,2018-01-28 23:59:59,2018-01-22,11530.0,12244.0,9900.24,11879.95,2184045152.4962206,1961464,95219.664176,1049772766.2931716,198030.051117,22,1,2018,0,0,28,1,2018,23,59
