timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1687759200000,30215.04000000,30292.81000000,30194.59000000,30291.48000000,673.94260000,1687760999999,20378327.03705170,15574,328.09082000,9922745.45072120,0
1687761000000,30291.48000000,30486.23000000,30269.16000000,30483.97000000,1208.22896000,1687762799999,36691777.35747320,24124,717.53235000,21791382.32393200,0
1687762800000,30483.97000000,30580.00000000,30388.00000000,30415.94000000,1867.03213000,1687764599999,56948319.74012700,33746,1045.28966000,31883454.24028040,0
1687764600000,30415.93000000,30422.00000000,30283.00000000,30404.29000000,1057.97695000,1687766399999,32116982.95791720,21755,516.76120000,15687006.29563160,0
1687766400000,30404.28000000,30428.36000000,30338.34000000,30368.71000000,825.31743000,1687768199999,25072102.56217120,15779,374.97571000,11391593.05489120,0
1687768200000,30368.70000000,30425.00000000,30323.37000000,30405.75000000,636.40117000,1687769999999,19325342.73060060,14839,331.08369000,10051828.54127750,0
1687770000000,30405.76000000,30420.14000000,30311.49000000,30323.50000000,546.49495000,1687771799999,16588194.75164520,14705,176.64007000,5362182.27386410,0
1687771800000,30323.49000000,30365.82000000,30245.88000000,30268.00000000,881.60526000,1687773599999,26721582.72235490,16928,520.80751000,15786607.02466100,0
1687773600000,30268.00000000,30273.62000000,30130.00000000,30257.38000000,1104.29206000,1687775399999,33358235.95308730,25661,519.35468000,15688658.08569150,0
1687775400000,30257.38000000,30288.37000000,30237.24000000,30267.99000000,575.94523000,1687777199999,17429472.65744220,12424,236.09303000,7145021.26287270,0
1687777200000,30268.00000000,30343.60000000,30250.00000000,30318.09000000,574.81765000,1687778999999,17419684.27790800,13913,273.41468000,8286135.55143880,0
1687779000000,30318.09000000,30337.16000000,30300.00000000,30322.89000000,288.81914000,1687780799999,8758064.32671130,9613,126.50873000,3836035.92882650,0
1687780800000,30322.89000000,30370.00000000,30273.34000000,30292.00000000,592.26930000,1687782599999,17959887.38556810,13536,243.92726000,7397062.57285360,0
1687782600000,30292.00000000,30398.00000000,30257.02000000,30359.30000000,680.34554000,1687784399999,20646986.14098730,14784,344.31364000,10448388.73888230,0
1687784400000,30359.29000000,30429.99000000,30356.97000000,30420.00000000,540.15594000,1687786199999,16417698.99735840,14837,295.52069000,8981220.20405400,0
1687786200000,30420.00000000,30658.49000000,30398.27000000,30639.14000000,2145.33971000,1687787999999,65460116.86098520,39842,1241.41290000,37878213.88748150,0
1687788000000,30639.14000000,30666.00000000,30450.45000000,30511.39000000,1888.47319000,1687789799999,57695329.81109300,32120,943.04446000,28810921.42264980,0
1687789800000,30511.40000000,30519.47000000,30260.01000000,30394.56000000,1798.22460000,1687791599999,54624359.50967300,36099,833.12711000,25302510.76460550,0
1687791600000,30394.56000000,30431.42000000,30325.00000000,30367.88000000,1003.50358000,1687793399999,30484523.66515960,19463,381.06432000,11576701.22545410,0
1687793400000,30367.88000000,30461.37000000,30357.41000000,30419.62000000,448.53529000,1687795199999,13646953.31391200,14533,197.96472000,6023341.16291300,0
1687795200000,30419.63000000,30432.00000000,30305.69000000,30313.28000000,701.40738000,1687796999999,21308995.08689720,16148,293.77046000,8923954.29871810,0
1687797000000,30313.28000000,30351.06000000,29982.47000000,30100.47000000,3473.03287000,1687798799999,104593973.35491470,60450,1489.25406000,44862016.21468900,0
1687798800000,30100.46000000,30170.38000000,29930.00000000,30129.40000000,2571.68524000,1687800599999,77289511.16511650,45783,1251.95091000,37629113.91162350,0
1687800600000,30129.40000000,30160.00000000,30063.96000000,30084.63000000,1038.24922000,1687802399999,31261246.90093960,20790,531.34760000,15998634.92669440,0
1687802400000,30084.63000000,30130.00000000,30040.00000000,30102.20000000,864.27825000,1687804199999,26006546.77063380,17082,392.57133000,11812296.20025610,0
