timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,3m_close_time,3m_open_time,3m_open,3m_high,3m_low,3m_close,3m_quote_asset_volume,3m_number_of_trades,3m_taker_buy_base_asset_volume,3m_taker_buy_quote_asset_volume,3m_volume,3m_open_time_day,3m_open_time_month,3m_open_time_year,3m_open_time_hour,3m_open_time_minute,3m_close_time_day,3m_close_time_month,3m_close_time_year,3m_close_time_hour,3m_close_time_minute
2023-06-26 11:27:00,30318.99,30319.0,30315.0,30318.09,14.9031,1687778999999,451816.1239346,705,7.03293,213216.8443421,0,2023-06-26 11:29:59,2023-06-26 11:27:00,30318.99,30319.0,30315.0,30318.09,451816.1239346,705,7.03293,213216.8443421,14.9031,26,6,2023,11,27,26,6,2023,11,29
2023-06-26 11:30:00,30318.09,30331.8,30318.08,30323.57,51.10745,1687779179999,1549861.9983178,1263,25.2182,764719.8312315,0,2023-06-26 11:32:59,2023-06-26 11:30:00,30318.09,30331.8,30318.08,30323.57,1549861.9983178,1263,25.2182,764719.8312315,51.10745,26,6,2023,11,30,26,6,2023,11,32
2023-06-26 11:33:00,30323.57,30331.8,30323.56,30330.51,22.01986,1687779359999,667866.1429442,799,12.30795,373294.814018,0,2023-06-26 11:35:59,2023-06-26 11:33:00,30323.57,30331.8,30323.56,30330.51,667866.1429442,799,12.30795,373294.814018,22.01986,26,6,2023,11,33,26,6,2023,11,35
2023-06-26 11:36:00,30330.51,30337.16,30328.18,30331.93,23.94089,1687779539999,726194.093457,844,10.00433,303450.1890095,0,2023-06-26 11:38:59,2023-06-26 11:36:00,30330.51,30337.16,30328.18,30331.93,726194.093457,844,10.00433,303450.1890095,23.94089,26,6,2023,11,36,26,6,2023,11,38
2023-06-26 11:39:00,30331.94,30331.94,30324.59,30324.6,18.22386,1687779719999,552729.5890064,826,7.17168,217516.7281139,0,2023-06-26 11:41:59,2023-06-26 11:39:00,30331.94,30331.94,30324.59,30324.6,552729.5890064,826,7.17168,217516.7281139,18.22386,26,6,2023,11,39,26,6,2023,11,41
2023-06-26 11:42:00,30324.6,30324.6,30315.0,30318.08,31.56292,1687779899999,957027.0936441,985,8.35788,253416.3232729,0,2023-06-26 11:44:59,2023-06-26 11:42:00,30324.6,30324.6,30315.0,30318.08,957027.0936441,985,8.35788,253416.3232729,31.56292,26,6,2023,11,42,26,6,2023,11,44
2023-06-26 11:45:00,30318.08,30320.47,30300.0,30305.98,27.6927,1687780079999,839301.919751,1142,14.30817,433639.5266974,0,2023-06-26 11:47:59,2023-06-26 11:45:00,30318.08,30320.47,30300.0,30305.98,839301.919751,1142,14.30817,433639.5266974,27.6927,26,6,2023,11,45,26,6,2023,11,47
2023-06-26 11:48:00,30305.99,30328.8,30305.98,30326.75,44.17933,1687780259999,1339453.1289388,1331,24.79748,751795.5977177,0,2023-06-26 11:50:59,2023-06-26 11:48:00,30305.99,30328.8,30305.98,30326.75,1339453.1289388,1331,24.79748,751795.5977177,44.17933,26,6,2023,11,48,26,6,2023,11,50
2023-06-26 11:51:00,30326.75,30332.0,30320.35,30320.36,29.83197,1687780439999,904678.3963996,827,5.54772,168231.8305597,0,2023-06-26 11:53:59,2023-06-26 11:51:00,30326.75,30332.0,30320.35,30320.36,904678.3963996,827,5.54772,168231.8305597,29.83197,26,6,2023,11,51,26,6,2023,11,53
2023-06-26 11:54:00,30320.35,30329.66,30320.35,30329.66,18.58503,1687780619999,563552.4542593,778,11.97065,362973.6991998,0,2023-06-26 11:56:59,2023-06-26 11:54:00,30320.35,30329.66,30320.35,30329.66,563552.4542593,778,11.97065,362973.6991998,18.58503,26,6,2023,11,54,26,6,2023,11,56
2023-06-26 11:57:00,30329.65,30335.0,30322.89,30322.89,21.67513,1687780799999,657399.5099931,818,6.82467,206997.3890061,0,2023-06-26 11:59:59,2023-06-26 11:57:00,30329.65,30335.0,30322.89,30322.89,657399.5099931,818,6.82467,206997.3890061,21.67513,26,6,2023,11,57,26,6,2023,11,59
2023-06-26 12:00:00,30322.89,30343.55,30321.99,30343.54,41.05712,1687780979999,1245352.2641778,1207,17.73559,537962.983277,0,2023-06-26 12:02:59,2023-06-26 12:00:00,30322.89,30343.55,30321.99,30343.54,1245352.2641778,1207,17.73559,537962.983277,41.05712,26,6,2023,12,0,26,6,2023,12,2
2023-06-26 12:03:00,30343.55,30345.63,30338.41,30340.77,55.2453,1687781159999,1676272.9707402,1081,12.69089,385059.0315721,0,2023-06-26 12:05:59,2023-06-26 12:03:00,30343.55,30345.63,30338.41,30340.77,1676272.9707402,1081,12.69089,385059.0315721,55.2453,26,6,2023,12,3,26,6,2023,12,5
2023-06-26 12:06:00,30340.77,30349.52,30330.0,30349.52,73.80908,1687781339999,2239247.0449827,1268,24.97145,757620.4522635,0,2023-06-26 12:08:59,2023-06-26 12:06:00,30340.77,30349.52,30330.0,30349.52,2239247.0449827,1268,24.97145,757620.4522635,73.80908,26,6,2023,12,6,26,6,2023,12,8
2023-06-26 12:09:00,30349.51,30370.0,30344.29,30344.29,90.5379,1687781519999,2748346.0465041,2160,49.83708,1512765.6880787,0,2023-06-26 12:11:59,2023-06-26 12:09:00,30349.51,30370.0,30344.29,30344.29,2748346.0465041,2160,49.83708,1512765.6880787,90.5379,26,6,2023,12,9,26,6,2023,12,11
2023-06-26 12:12:00,30344.29,30347.42,30344.29,30347.42,46.74326,1687781699999,1418445.8285795,952,30.70686,931807.1524138,0,2023-06-26 12:14:59,2023-06-26 12:12:00,30344.29,30347.42,30344.29,30347.42,1418445.8285795,952,30.70686,931807.1524138,46.74326,26,6,2023,12,12,26,6,2023,12,14
2023-06-26 12:15:00,30347.41,30347.42,30312.42,30312.48,57.8056,1687781879999,1753156.47878,1635,18.6231,564730.2859939,0,2023-06-26 12:17:59,2023-06-26 12:15:00,30347.41,30347.42,30312.42,30312.48,1753156.47878,1635,18.6231,564730.2859939,57.8056,26,6,2023,12,15,26,6,2023,12,17
2023-06-26 12:18:00,30312.48,30312.49,30291.51,30297.81,68.92344,1687782059999,2088400.2187226,1492,19.08764,578324.8486079,0,2023-06-26 12:20:59,2023-06-26 12:18:00,30312.48,30312.49,30291.51,30297.81,2088400.2187226,1492,19.08764,578324.8486079,68.92344,26,6,2023,12,18,26,6,2023,12,20
2023-06-26 12:21:00,30297.82,30308.0,30273.34,30292.99,89.62128,1687782239999,2714748.9591297,1710,31.35636,949829.5780124,0,2023-06-26 12:23:59,2023-06-26 12:21:00,30297.82,30308.0,30273.34,30292.99,2714748.9591297,1710,31.35636,949829.5780124,89.62128,26,6,2023,12,21,26,6,2023,12,23
2023-06-26 12:24:00,30293.0,30298.79,30280.0,30288.8,38.36639,1687782419999,1162215.5719553,1034,21.08385,638672.9740096,0,2023-06-26 12:26:59,2023-06-26 12:24:00,30293.0,30298.79,30280.0,30288.8,1162215.5719553,1034,21.08385,638672.9740096,38.36639,26,6,2023,12,24,26,6,2023,12,26
2023-06-26 12:27:00,30288.8,30299.83,30288.8,30292.0,30.15993,1687782599999,913702.0019962,997,17.83444,540289.5786247,0,2023-06-26 12:29:59,2023-06-26 12:27:00,30288.8,30299.83,30288.8,30292.0,913702.0019962,997,17.83444,540289.5786247,30.15993,26,6,2023,12,27,26,6,2023,12,29
