timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,1h_close_time,1h_open_time,1h_open,1h_high,1h_low,1h_close,1h_quote_asset_volume,1h_number_of_trades,1h_taker_buy_base_asset_volume,1h_taker_buy_quote_asset_volume,1h_volume,1h_open_time_day,1h_open_time_month,1h_open_time_year,1h_open_time_hour,1h_open_time_minute,1h_close_time_day,1h_close_time_month,1h_close_time_year,1h_close_time_hour,1h_close_time_minute
2023-06-25 21:00:00,30374.01,30493.61,30362.55,30451.52,640.68737,1687730399999,19495575.160753,20028,306.97721,9340849.2753088,0,2023-06-25 21:59:59,2023-06-25 21:00:00,30374.01,30493.61,30362.55,30451.52,19495575.160753,20028,306.97721,9340849.2753088,640.68737,25,6,2023,21,0,25,6,2023,21,59
2023-06-25 22:00:00,30451.52,30571.89,30386.66,30500.86,865.46846,1687733999999,26391729.4802199,24046,419.95383,12805346.0217339,0,2023-06-25 22:59:59,2023-06-25 22:00:00,30451.52,30571.89,30386.66,30500.86,26391729.4802199,24046,419.95383,12805346.0217339,865.46846,25,6,2023,22,0,25,6,2023,22,59
2023-06-25 23:00:00,30500.86,30501.87,30432.43,30462.66,685.58857,1687737599999,20885717.2522254,19183,278.81144,8493509.5537492,0,2023-06-25 23:59:59,2023-06-25 23:00:00,30500.86,30501.87,30432.43,30462.66,20885717.2522254,19183,278.81144,8493509.5537492,685.58857,25,6,2023,23,0,25,6,2023,23,59
2023-06-26 00:00:00,30462.67,30550.0,30391.75,30394.89,1453.76516,1687741199999,44298396.3931252,37153,684.67457,20863888.6522186,0,2023-06-26 00:59:59,2023-06-26 00:00:00,30462.67,30550.0,30391.75,30394.89,44298396.3931252,37153,684.67457,20863888.6522186,1453.76516,26,6,2023,0,0,26,6,2023,0,59
2023-06-26 01:00:00,30394.88,30405.56,29963.6,30172.74,5025.23679,1687744799999,151663439.269308,97251,2362.72589,71308102.9856661,0,2023-06-26 01:59:59,2023-06-26 01:00:00,30394.88,30405.56,29963.6,30172.74,151663439.269308,97251,2362.72589,71308102.9856661,5025.23679,26,6,2023,1,0,26,6,2023,1,59
2023-06-26 02:00:00,30172.73,30240.0,30115.77,30222.48,1328.30002,1687748399999,40087968.7438291,28682,718.7429,21689398.994005,0,2023-06-26 02:59:59,2023-06-26 02:00:00,30172.73,30240.0,30115.77,30222.48,40087968.7438291,28682,718.7429,21689398.994005,1328.30002,26,6,2023,2,0,26,6,2023,2,59
2023-06-26 03:00:00,30222.48,30328.63,30177.38,30296.36,1400.57854,1687751999999,42342632.9428482,24589,915.61047,27679099.2446518,0,2023-06-26 03:59:59,2023-06-26 03:00:00,30222.48,30328.63,30177.38,30296.36,42342632.9428482,24589,915.61047,27679099.2446518,1400.57854,26,6,2023,3,0,26,6,2023,3,59
2023-06-26 04:00:00,30296.35,30323.99,30214.3,30245.17,1075.49423,1687755599999,32543330.5463549,22331,524.70074,15876705.1714045,0,2023-06-26 04:59:59,2023-06-26 04:00:00,30296.35,30323.99,30214.3,30245.17,32543330.5463549,22331,524.70074,15876705.1714045,1075.49423,26,6,2023,4,0,26,6,2023,4,59
2023-06-26 05:00:00,30245.18,30272.93,30164.79,30215.05,923.87173,1687759199999,27919208.6116483,26217,378.27956,11431107.618605,0,2023-06-26 05:59:59,2023-06-26 05:00:00,30245.18,30272.93,30164.79,30215.05,27919208.6116483,26217,378.27956,11431107.618605,923.87173,26,6,2023,5,0,26,6,2023,5,59
2023-06-26 06:00:00,30215.04,30486.23,30194.59,30483.97,1882.17156,1687762799999,57070104.3945249,39698,1045.62317,31714127.7746532,0,2023-06-26 06:59:59,2023-06-26 06:00:00,30215.04,30486.23,30194.59,30483.97,57070104.3945249,39698,1045.62317,31714127.7746532,1882.17156,26,6,2023,6,0,26,6,2023,6,59
2023-06-26 07:00:00,30483.97,30580.0,30283.0,30404.29,2925.00908,1687766399999,89065302.6980442,55501,1562.05086,47570460.535912,0,2023-06-26 07:59:59,2023-06-26 07:00:00,30483.97,30580.0,30283.0,30404.29,89065302.6980442,55501,1562.05086,47570460.535912,2925.00908,26,6,2023,7,0,26,6,2023,7,59
2023-06-26 08:00:00,30404.28,30428.36,30323.37,30405.75,1461.7186,1687769999999,44397445.2927718,30618,706.0594,21443421.5961687,0,2023-06-26 08:59:59,2023-06-26 08:00:00,30404.28,30428.36,30323.37,30405.75,44397445.2927718,30618,706.0594,21443421.5961687,1461.7186,26,6,2023,8,0,26,6,2023,8,59
2023-06-26 09:00:00,30405.76,30420.14,30245.88,30268.0,1428.10021,1687773599999,43309777.4740001,31633,697.44758,21148789.2985251,0,2023-06-26 09:59:59,2023-06-26 09:00:00,30405.76,30420.14,30245.88,30268.0,43309777.4740001,31633,697.44758,21148789.2985251,1428.10021,26,6,2023,9,0,26,6,2023,9,59
2023-06-26 10:00:00,30268.0,30288.37,30130.0,30267.99,1680.23729,1687777199999,50787708.6105295,38085,755.44771,22833679.3485642,0,2023-06-26 10:59:59,2023-06-26 10:00:00,30268.0,30288.37,30130.0,30267.99,50787708.6105295,38085,755.44771,22833679.3485642,1680.23729,26,6,2023,10,0,26,6,2023,10,59
2023-06-26 11:00:00,30268.0,30343.6,30250.0,30322.89,863.63679,1687780799999,26177748.6046193,23526,399.92341,12122171.4802653,0,2023-06-26 11:59:59,2023-06-26 11:00:00,30268.0,30343.6,30250.0,30322.89,26177748.6046193,23526,399.92341,12122171.4802653,863.63679,26,6,2023,11,0,26,6,2023,11,59
2023-06-26 12:00:00,30322.89,30398.0,30257.02,30359.3,1272.61484,1687784399999,38606873.5265554,28320,588.2409,17845451.3117359,0,2023-06-26 12:59:59,2023-06-26 12:00:00,30322.89,30398.0,30257.02,30359.3,38606873.5265554,28320,588.2409,17845451.3117359,1272.61484,26,6,2023,12,0,26,6,2023,12,59
2023-06-26 13:00:00,30359.29,30658.49,30356.97,30639.14,2685.49565,1687787999999,81877815.8583436,54679,1536.93359,46859434.0915355,0,2023-06-26 13:59:59,2023-06-26 13:00:00,30359.29,30658.49,30356.97,30639.14,81877815.8583436,54679,1536.93359,46859434.0915355,2685.49565,26,6,2023,13,0,26,6,2023,13,59
2023-06-26 14:00:00,30639.14,30666.0,30260.01,30394.56,3686.69779,1687791599999,112319689.320766,68219,1776.17157,54113432.1872553,0,2023-06-26 14:59:59,2023-06-26 14:00:00,30639.14,30666.0,30260.01,30394.56,112319689.320766,68219,1776.17157,54113432.1872553,3686.69779,26,6,2023,14,0,26,6,2023,14,59
