timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1580117400000,8639.35000000,8642.32000000,8618.17000000,8641.07000000,266.03112900,1580117699999,2295981.61384140,2029,111.76764900,964557.13877446,0
1580117700000,8641.07000000,8647.00000000,8640.00000000,8640.73000000,98.37583900,1580117999999,850258.84816299,907,44.99592000,388911.74802650,0
1580118000000,8640.68000000,8640.68000000,8628.01000000,8634.54000000,103.83734400,1580118299999,896587.63690742,881,42.02615500,362837.72225277,0
1580118300000,8634.50000000,8649.99000000,8634.48000000,8642.10000000,193.22334400,1580118599999,1669821.76477198,1287,139.94875500,1209474.89888018,0
1580118600000,8642.48000000,8646.46000000,8632.07000000,8633.78000000,169.54176700,1580118899999,1464608.29606361,960,59.25590500,511946.17822017,0
1580118900000,8632.94000000,8645.74000000,8631.30000000,8641.99000000,163.76905800,1580119199999,1414309.15543871,1533,84.70310500,731604.50897631,0
1580119200000,8642.24000000,8649.51000000,8631.27000000,8648.33000000,113.16750600,1580119499999,978107.85093521,1179,62.56593700,540807.70619268,0
1580119500000,8649.47000000,8659.00000000,8648.05000000,8656.86000000,222.99147300,1580119799999,1929731.05657048,1841,119.12788800,1030864.82718191,0
1580119800000,8656.27000000,8672.77000000,8647.28000000,8660.45000000,236.31629800,1580120099999,2046644.56501898,1751,119.08014800,1031632.61951034,0
1580120100000,8660.82000000,8663.26000000,8640.00000000,8643.66000000,234.65837400,1580120399999,2030711.07863845,1795,93.80376600,811865.22535557,0
1580120400000,8642.00000000,8648.25000000,8637.45000000,8641.96000000,142.57463400,1580120699999,1232344.04994576,1288,83.59170400,722545.63656114,0
1580120700000,8642.12000000,8650.45000000,8638.14000000,8649.92000000,81.06297200,1580120999999,700545.30502124,812,43.99529700,380222.81093506,0
1580121000000,8649.51000000,8653.56000000,8636.40000000,8640.24000000,113.62906400,1580121299999,982061.64231755,1119,58.19107800,502924.50025246,0
1580121300000,8639.81000000,8647.14000000,8628.16000000,8636.73000000,139.05401400,1580121599999,1201087.41095526,1221,74.85293000,646653.39751187,0
1580121600000,8639.66000000,8640.40000000,8627.52000000,8627.52000000,91.43627300,1580121899999,789533.04713445,780,40.91990900,353354.85495397,0
1580121900000,8627.50000000,8637.73000000,8624.20000000,8633.17000000,85.95183400,1580122199999,741766.29338024,953,45.83049700,395488.90766094,0
1580122200000,8633.25000000,8645.00000000,8628.96000000,8642.28000000,145.01481000,1580122499999,1252423.75993127,1134,93.93653800,811240.13553591,0
1580122500000,8642.29000000,8643.99000000,8629.47000000,8634.13000000,88.81441400,1580122799999,767013.56759226,990,29.96473800,258788.51374031,0
1580122800000,8634.13000000,8648.07000000,8629.00000000,8644.11000000,92.66490000,1580123099999,800448.11691204,1068,55.27881200,477559.22902342,0
1580123100000,8644.19000000,8646.89000000,8639.32000000,8640.27000000,54.93014500,1580123399999,474695.09879961,839,21.43451300,185239.04552032,0
1580123400000,8641.22000000,8655.00000000,8640.37000000,8652.64000000,71.96444700,1580123699999,622469.13506657,948,43.82781400,379100.90080902,0
1580123700000,8652.85000000,8662.09000000,8647.00000000,8651.29000000,126.40858400,1580123999999,1094064.33019951,1340,60.97517900,527838.42940822,0
1580124000000,8651.28000000,8654.69000000,8639.40000000,8641.01000000,87.27027400,1580124299999,754444.45052902,942,33.07084200,285896.99902678,0
1580124300000,8641.86000000,8648.07000000,8640.02000000,8645.47000000,87.68761200,1580124599999,758060.95525806,1047,51.04367200,441263.53795428,0
1580124600000,8645.52000000,8646.30000000,8640.00000000,8643.99000000,82.82661600,1580124899999,715917.50434062,843,42.02173300,363224.75512704,0
1580124900000,8644.00000000,8658.99000000,8639.76000000,8650.17000000,88.38146100,1580125199999,764360.83580462,1021,54.26358800,469311.39967493,0
1580125200000,8650.17000000,8658.55000000,8647.04000000,8655.52000000,130.94134800,1580125499999,1133021.81985779,1263,69.49385100,601336.55913345,0
1580125500000,8655.46000000,8688.00000000,8655.46000000,8682.76000000,300.00318300,1580125799999,2601941.51582267,4491,173.45832800,1504525.06856377,0
1580125800000,8682.76000000,8741.20000000,8670.00000000,8734.26000000,1282.51442300,1580126099999,11177304.33998555,9589,839.70398800,7318774.65622552,0
1580126100000,8732.28000000,8750.00000000,8725.91000000,8735.67000000,735.93333200,1580126399999,6431633.00343406,5583,357.48637000,3124902.83078271,0
1580126400000,8735.67000000,8755.00000000,8723.57000000,8727.20000000,613.93474500,1580126699999,5368280.36449315,3988,413.61487900,3617298.55365556,0
1580126700000,8727.31000000,8727.46000000,8700.41000000,8724.75000000,546.63403700,1580126999999,4763839.81156538,4469,277.72063400,2420344.99508043,0
1580127000000,8726.63000000,8728.09000000,8714.66000000,8727.91000000,160.53010600,1580127299999,1400417.00098707,1741,76.44543700,666935.47078813,0
