timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1630936380000,51475.79000000,51482.50000000,51462.64000000,51478.98000000,22.81077000,1630936439999,1174179.85759220,1530,12.36321000,636382.66434490,0
1630936440000,51478.99000000,51494.00000000,51478.99000000,51481.03000000,28.37582000,1630936499999,1460946.41348170,1138,16.46697000,847813.23045660,0
1630936500000,51481.03000000,51487.56000000,51434.69000000,51467.36000000,27.62818000,1630936559999,1421492.12489530,1421,18.38988000,946144.09795680,0
1630936560000,51467.37000000,51493.99000000,51441.35000000,51473.68000000,28.70593000,1630936619999,1477531.80446690,1243,15.95691000,821346.93660170,0
1630936620000,51473.67000000,51512.52000000,51470.76000000,51501.99000000,46.09571000,1630936679999,2373912.51374530,1518,34.78279000,1791334.58094160,0
1630936680000,51502.00000000,51513.71000000,51478.65000000,51494.79000000,44.14642000,1630936739999,2273429.72598020,1381,24.29394000,1251112.66783710,0
1630936740000,51494.79000000,51504.89000000,51475.00000000,51476.83000000,26.29406000,1630936799999,1354010.28067090,1149,13.75371000,708253.07024920,0
1630936800000,51476.83000000,51501.00000000,51433.00000000,51449.04000000,33.07130000,1630936859999,1701770.29686410,1597,12.63098000,649948.61219670,0
1630936860000,51449.04000000,51482.18000000,51441.08000000,51457.62000000,28.52383000,1630936919999,1467757.10053260,1983,14.21604000,731541.00170200,0
1630936920000,51457.62000000,51476.85000000,51451.72000000,51465.02000000,30.92021000,1630936979999,1591348.73666760,1861,14.69416000,756252.59987010,0
1630936980000,51465.02000000,51480.37000000,51458.66000000,51470.95000000,35.98360000,1630937039999,1852062.75042450,2214,25.13149000,1293532.00988830,0
1630937040000,51470.95000000,51496.01000000,51463.81000000,51485.22000000,35.65635000,1630937099999,1835779.18820370,1543,19.03986000,980260.04253390,0
1630937100000,51485.21000000,51527.00000000,51485.21000000,51510.54000000,31.54190000,1630937159999,1624729.33579270,2105,23.15114000,1192521.69855020,0
1630937160000,51510.55000000,51542.04000000,51499.22000000,51532.63000000,62.80733000,1630937219999,3235848.85821570,1998,27.30081000,1406744.73747140,0
1630937220000,51530.13000000,51631.25000000,51520.00000000,51588.39000000,105.72877000,1630937279999,5452583.29509530,3516,76.77822000,3959199.52818390,0
1630937280000,51588.39000000,51596.49000000,51535.23000000,51555.01000000,32.52585000,1630937339999,1677314.58168560,1911,20.56579000,1060566.37632060,0
1630937340000,51555.01000000,51559.41000000,51527.43000000,51548.78000000,21.28771000,1630937399999,1097127.97970660,1694,11.17615000,576020.41036340,0
1630937400000,51548.79000000,51556.19000000,51543.62000000,51556.19000000,13.97648000,1630937459999,720481.87858000,1088,4.24042000,218592.16110900,0
1630937460000,51556.19000000,51605.92000000,51551.39000000,51604.53000000,47.88434000,1630937519999,2469874.44279890,2610,21.79265000,1124046.81675170,0
1630937520000,51605.58000000,51622.03000000,51578.01000000,51622.03000000,56.93468000,1630937579999,2937898.97403180,1780,26.93159000,1389803.01833320,0
1630937580000,51623.70000000,51670.00000000,51615.64000000,51650.03000000,55.26632000,1630937639999,2854538.88771540,2786,38.64493000,1996023.69469540,0
1630937640000,51650.02000000,51676.04000000,51637.20000000,51666.91000000,45.85984000,1630937699999,2369354.06564420,2015,27.34863000,1412955.92199250,0
1630937700000,51666.91000000,51666.91000000,51611.87000000,51649.08000000,42.76151000,1630937759999,2208189.05078250,2600,22.06533000,1139529.55671930,0
1630937760000,51649.09000000,51671.82000000,51629.76000000,51633.48000000,31.31682000,1630937819999,1617584.48431590,1453,21.19202000,1094621.16128150,0
1630937820000,51633.62000000,51668.24000000,51625.57000000,51641.88000000,30.52196000,1630937879999,1576287.30801670,2165,16.89151000,872371.03295040,0
