timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1683172380000,29033.02000000,29076.46000000,29033.01000000,29073.54000000,36.63077000,1683172439999,1064522.69933890,788,27.30582000,793403.54563110,0
1683172440000,29073.55000000,29090.00000000,29073.54000000,29080.44000000,29.60689000,1683172499999,861049.95461790,775,12.80189000,372313.69104670,0
1683172500000,29080.44000000,29097.57000000,29080.44000000,29081.16000000,23.09452000,1683172559999,671819.39281990,667,9.95856000,289687.23856600,0
1683172560000,29081.16000000,29096.01000000,29081.16000000,29088.78000000,14.99050000,1683172619999,436064.08798120,411,10.63516000,309352.08362610,0
1683172620000,29088.78000000,29100.00000000,29087.91000000,29092.97000000,45.81835000,1683172679999,1332965.80079270,624,36.27836000,1055433.59529740,0
1683172680000,29092.98000000,29099.55000000,29090.35000000,29099.55000000,13.42926000,1683172739999,390694.85837480,382,10.89745000,317037.81711400,0
1683172740000,29099.55000000,29099.55000000,29096.85000000,29096.86000000,11.14092000,1683172799999,324174.13518460,418,3.56696000,103787.43357380,0
1683172800000,29096.85000000,29108.54000000,29096.85000000,29107.57000000,23.87557000,1683172859999,694814.26670310,674,17.67752000,514432.33612020,0
1683172860000,29107.58000000,29107.58000000,29085.39000000,29085.96000000,33.13679000,1683172919999,964041.01511400,661,5.41754000,157595.48020930,0
1683172920000,29085.96000000,29086.27000000,29079.62000000,29085.28000000,21.58150000,1683172979999,627658.05048470,444,12.69876000,369313.13134940,0
1683172980000,29085.28000000,29085.29000000,29085.28000000,29085.29000000,6.50422000,1683173039999,189177.07109880,181,1.12172000,32625.55149880,0
1683173040000,29085.29000000,29085.29000000,29083.24000000,29083.24000000,5.85249000,1683173099999,170213.99382160,248,0.48773000,14184.98215490,0
1683173100000,29083.25000000,29092.53000000,29083.24000000,29092.52000000,17.42302000,1683173159999,506799.80027010,488,12.32987000,358651.38080730,0
1683173160000,29092.51000000,29092.52000000,29083.79000000,29083.80000000,5.33318000,1683173219999,155128.12136570,238,1.12373000,32684.56040430,0
1683173220000,29083.79000000,29083.80000000,29080.79000000,29080.80000000,8.50350000,1683173279999,247300.69033530,358,1.76266000,51259.57828800,0
1683173280000,29080.79000000,29088.43000000,29074.97000000,29086.10000000,48.54923000,1683173339999,1411884.47334150,657,25.02121000,727649.91127930,0
1683173340000,29086.10000000,29095.27000000,29086.09000000,29095.27000000,16.91859000,1683173399999,492147.63452120,389,12.28691000,357401.93186680,0
1683173400000,29095.26000000,29101.00000000,29094.95000000,29094.96000000,10.30821000,1683173459999,299956.91700670,441,5.15687000,150058.24821220,0
1683173460000,29094.95000000,29094.96000000,29086.50000000,29088.42000000,30.75834000,1683173519999,894800.08321080,383,9.67842000,281515.98094930,0
1683173520000,29088.42000000,29099.00000000,29088.41000000,29096.94000000,22.19633000,1683173579999,645865.69705570,461,5.05964000,147214.61027240,0
1683173580000,29096.95000000,29100.01000000,29096.94000000,29096.95000000,14.35946000,1683173639999,417846.96763760,330,7.25246000,211040.09565360,0
1683173640000,29096.94000000,29096.95000000,29090.89000000,29092.91000000,24.15183000,1683173699999,702682.60322000,322,4.23884000,123312.79951710,0
1683173700000,29092.91000000,29096.04000000,29092.91000000,29096.04000000,12.60921000,1683173759999,366851.63789770,319,6.66599000,193933.66566070,0
1683173760000,29096.04000000,29096.04000000,29092.92000000,29094.55000000,23.46511000,1683173819999,682710.72362070,355,7.79912000,226911.06697000,0
1683173820000,29094.55000000,29096.26000000,29090.92000000,29095.79000000,11.63658000,1683173879999,338545.89846220,317,3.79242000,110332.33066360,0
1683173880000,29096.25000000,29101.95000000,29096.25000000,29101.95000000,7.19177000,1683173939999,209268.91429950,281,5.32681000,155001.68119900,0
1683173940000,29101.94000000,29101.95000000,29091.17000000,29091.17000000,26.13214000,1683173999999,760427.63451250,508,4.10575000,119477.11148050,0
1683174000000,29091.17000000,29091.18000000,29088.92000000,29088.93000000,6.33502000,1683174059999,184289.10620990,218,1.50121000,43671.03350730,0
1683174060000,29088.92000000,29088.93000000,29087.59000000,29087.59000000,6.75889000,1683174119999,196601.49692710,262,2.03300000,59135.14619900,0
1683174120000,29087.59000000,29104.52000000,29087.59000000,29104.51000000,16.67725000,1683174179999,485270.06821210,494,12.63372000,367592.42568180,0
1683174180000,29104.51000000,29106.98000000,29104.51000000,29106.97000000,6.35979000,1683174239999,185110.22514490,273,2.93446000,85409.90498060,0
1683174240000,29106.97000000,29130.00000000,29101.96000000,29110.00000000,117.21348000,1683174299999,3412771.72591770,1354,72.38576000,2107502.95439100,0
1683174300000,29110.01000000,29110.01000000,29080.38000000,29080.39000000,13.61763000,1683174359999,396155.99200140,584,2.38800000,69464.12137710,0
