timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1646303580000,43265.30000000,43283.97000000,43263.63000000,43273.56000000,26.59519000,1646303639999,1150845.01132860,872,14.71478000,636749.31108580,0
1646303640000,43273.57000000,43275.82000000,43268.16000000,43271.27000000,13.27889000,1646303699999,574609.58385140,460,3.63364000,157235.77767510,0
1646303700000,43271.28000000,43281.50000000,43180.00000000,43180.01000000,47.72133000,1646303759999,2064262.70446330,1053,16.13308000,697885.24972910,0
1646303760000,43180.01000000,43181.37000000,43115.87000000,43117.43000000,30.07045000,1646303819999,1297514.20067880,940,8.50605000,367054.53643510,0
1646303820000,43117.43000000,43146.49000000,43108.24000000,43145.05000000,24.55089000,1646303879999,1058903.79499000,752,12.48502000,538453.52209720,0
1646303880000,43145.04000000,43150.46000000,43110.73000000,43110.82000000,19.85763000,1646303939999,856601.50217330,582,12.18308000,525571.70364310,0
1646303940000,43110.74000000,43125.00000000,43064.46000000,43124.99000000,58.51336000,1646303999999,2521333.01825600,1359,16.10202000,693748.38410560,0
1646304000000,43125.00000000,43165.02000000,43124.99000000,43163.39000000,12.87232000,1646304059999,555431.43342090,586,7.80075000,336585.09610900,0
1646304060000,43163.39000000,43195.32000000,43163.39000000,43184.09000000,14.29140000,1646304119999,617145.18438180,613,7.44078000,321305.57844460,0
1646304120000,43184.10000000,43205.12000000,43179.35000000,43194.23000000,11.74773000,1646304179999,507446.67605830,451,6.99973000,302353.03724200,0
1646304180000,43194.23000000,43223.91000000,43190.00000000,43223.91000000,10.49953000,1646304239999,453613.04625890,531,6.65251000,287406.54785700,0
1646304240000,43223.90000000,43224.64000000,43205.56000000,43214.74000000,9.69613000,1646304299999,419029.96385460,354,4.49398000,194203.09005250,0
1646304300000,43214.74000000,43274.83000000,43207.20000000,43274.83000000,36.91584000,1646304359999,1596162.17266210,1064,20.29218000,877476.27449050,0
1646304360000,43274.83000000,43489.00000000,43274.82000000,43466.79000000,192.07116000,1646304419999,8332669.82769630,3847,121.69609000,5277076.04783390,0
1646304420000,43466.78000000,43470.19000000,43406.88000000,43420.14000000,61.57057000,1646304479999,2674237.84341450,1088,40.24760000,1748050.88785590,0
1646304480000,43420.13000000,43420.14000000,43360.10000000,43367.51000000,26.12973000,1646304539999,1133455.97542480,800,12.71836000,551672.74878180,0
1646304540000,43367.51000000,43386.98000000,43333.33000000,43359.18000000,39.95440000,1646304599999,1732442.51798420,808,23.66835000,1026231.96535670,0
