timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1598605680000,11425.88000000,11426.09000000,11419.20000000,11421.27000000,34.24051700,1598605739999,391123.16540766,441,5.20924000,59502.49745972,0
1598605740000,11421.28000000,11422.28000000,11420.36000000,11421.64000000,34.38297900,1598605799999,392696.50059527,490,12.53096900,143120.33507135,0
1598605800000,11421.64000000,11422.10000000,11418.49000000,11419.08000000,23.58515000,1598605859999,269350.17626819,531,11.25837900,128578.17268483,0
1598605860000,11419.08000000,11421.46000000,11418.92000000,11419.59000000,35.29686900,1598605919999,403086.99146737,512,21.98550300,251074.06787561,0
1598605920000,11419.58000000,11424.09000000,11419.34000000,11423.54000000,37.99039600,1598605979999,433922.92108215,503,17.59201600,200923.99041439,0
1598605980000,11423.54000000,11425.12000000,11419.99000000,11423.40000000,133.03938200,1598606039999,1519648.77686624,897,47.70048200,544851.73420014,0
1598606040000,11423.40000000,11425.15000000,11419.52000000,11424.74000000,48.29778200,1598606099999,551679.06360668,539,28.23979400,322578.90189028,0
1598606100000,11424.74000000,11442.96000000,11418.92000000,11442.05000000,200.68258100,1598606159999,2293569.81970092,1305,120.93216000,1382060.04201908,0
1598606160000,11442.35000000,11444.82000000,11438.47000000,11441.58000000,52.35911200,1598606219999,599124.01529928,872,13.80936000,158009.60980630,0
1598606220000,11441.74000000,11444.36000000,11440.35000000,11441.05000000,49.61544100,1598606279999,567724.46474510,853,18.04590000,206496.00472157,0
1598606280000,11441.05000000,11442.21000000,11437.82000000,11439.40000000,34.94446900,1598606339999,399767.66966981,566,12.36912500,141502.43481957,0
1598606340000,11439.51000000,11444.04000000,11438.75000000,11443.10000000,49.39661000,1598606399999,565098.13927317,429,41.83512600,478592.93902334,0
1598606400000,11443.05000000,11443.05000000,11437.72000000,11437.76000000,36.66792800,1598606459999,419473.81884399,606,12.09916800,138413.61642209,0
1598606460000,11437.76000000,11444.71000000,11431.73000000,11443.60000000,93.81714600,1598606519999,1073058.11749611,898,49.27465200,563618.38060055,0
1598606520000,11443.61000000,11448.10000000,11442.47000000,11447.69000000,66.69977500,1598606579999,763447.20031597,699,40.61796300,464911.84247620,0
1598606580000,11447.59000000,11453.06000000,11447.59000000,11453.05000000,75.50805500,1598606639999,864633.07337465,917,48.90277600,559985.49380164,0
1598606640000,11453.05000000,11455.00000000,11448.92000000,11449.66000000,80.06578100,1598606699999,917044.51913572,654,18.20151600,208473.57834656,0
1598606700000,11449.65000000,11451.72000000,11445.38000000,11451.33000000,43.92426600,1598606759999,502858.79129742,723,14.26698700,163333.42747615,0
1598606760000,11451.33000000,11451.34000000,11441.14000000,11442.46000000,30.69170800,1598606819999,351280.18737409,511,12.45198400,142516.39079032,0
1598606820000,11442.46000000,11445.52000000,11439.47000000,11440.46000000,43.54447800,1598606879999,498274.03591227,697,20.09991800,230007.61810046,0
1598606880000,11440.46000000,11444.05000000,11435.15000000,11441.30000000,31.44352900,1598606939999,359702.64271297,512,14.33019900,163919.97452275,0
1598606940000,11441.30000000,11441.31000000,11437.89000000,11440.56000000,30.69906700,1598606999999,351194.86766198,460,13.37526500,153008.40151198,0
1598607000000,11440.56000000,11454.07000000,11440.55000000,11450.45000000,26.19240400,1598607059999,299896.51121506,516,16.63389300,190438.05242505,0
1598607060000,11450.52000000,11454.18000000,11447.91000000,11454.18000000,37.30664700,1598607119999,427191.93717435,526,16.91544700,193702.66829734,0
1598607120000,11454.17000000,11459.17000000,11448.67000000,11451.03000000,148.22778000,1598607179999,1697874.42550485,941,80.06971600,917183.96293556,0
1598607180000,11451.03000000,11453.03000000,11448.26000000,11450.21000000,29.49108100,1598607239999,337694.89938197,403,13.94094400,159630.17422967,0
1598607240000,11450.21000000,11450.21000000,11420.00000000,11432.97000000,121.77932100,1598607299999,1392723.57866172,952,45.00548400,514700.00761911,0
1598607300000,11432.98000000,11432.98000000,11422.53000000,11423.59000000,32.72524000,1598607359999,374021.57473370,600,17.10896000,195549.10854975,0
1598607360000,11423.59000000,11428.90000000,11419.13000000,11419.68000000,50.24779300,1598607419999,574039.77126194,714,27.21624500,310917.49072053,0
1598607420000,11419.68000000,11428.89000000,11419.67000000,11424.06000000,38.40249100,1598607479999,438723.24156449,682,21.24215000,242668.85571680,0
1598607480000,11423.96000000,11434.74000000,11423.96000000,11433.95000000,27.97088200,1598607539999,319695.56241374,722,20.66767400,236223.26086412,0
1598607540000,11433.95000000,11437.27000000,11432.12000000,11436.66000000,27.71848600,1598607599999,316945.21482912,537,11.07582700,126647.86743599,0
1598607600000,11436.39000000,11443.48000000,11431.67000000,11432.48000000,63.19825500,1598607659999,722786.46329139,859,15.32348400,175285.42685882,0
1598607660000,11432.24000000,11433.56000000,11411.55000000,11424.62000000,56.59563900,1598607719999,646563.15171459,762,11.28209800,128963.18129121,0
1598607720000,11424.61000000,11432.18000000,11424.61000000,11428.96000000,27.53017200,1598607779999,314646.43721092,561,16.56054300,189274.87585933,0
1598607780000,11429.15000000,11429.99000000,11426.36000000,11427.80000000,16.22449100,1598607839999,185415.56461679,493,11.93557700,136399.67094435,0
1598607840000,11427.80000000,11427.92000000,11420.66000000,11427.20000000,58.76941000,1598607899999,671395.66541317,915,17.36204400,198365.58412860,0
1598607900000,11427.20000000,11431.82000000,11416.85000000,11431.53000000,60.47045600,1598607959999,690877.64365893,707,20.37771900,232900.45660340,0
1598607960000,11431.57000000,11431.75000000,11428.17000000,11429.05000000,23.44930100,1598608019999,268007.67157618,462,14.98154400,171226.47433862,0
1598608020000,11429.04000000,11433.89000000,11427.01000000,11427.81000000,19.03888000,1598608079999,217600.25317914,445,8.25758600,94376.53536528,0
1598608080000,11427.81000000,11431.83000000,11427.81000000,11431.14000000,24.85838300,1598608139999,284130.49453484,280,16.06984900,183672.93321898,0
1598608140000,11431.15000000,11431.15000000,11430.00000000,11430.01000000,11.25673300,1598608199999,128665.57216137,214,3.74302900,42783.44983268,0
1598608200000,11430.00000000,11430.01000000,11427.27000000,11427.27000000,18.59427900,1598608259999,212514.61458182,356,3.88645300,44416.97027960,0
1598608260000,11427.27000000,11432.83000000,11426.70000000,11432.70000000,27.44007100,1598608319999,313618.04538441,424,15.66702900,179061.97798902,0
1598608320000,11432.45000000,11432.71000000,11431.90000000,11432.33000000,13.85687200,1598608379999,158413.49798748,284,4.19574400,47966.40655631,0
1598608380000,11432.32000000,11439.83000000,11432.32000000,11436.98000000,30.32103900,1598608439999,346751.91778618,668,19.73751900,225716.93736954,0
1598608440000,11436.97000000,11442.01000000,11434.34000000,11442.01000000,25.90671800,1598608499999,296299.75053557,495,11.96990000,136895.15229151,0
1598608500000,11442.00000000,11444.99000000,11440.94000000,11444.98000000,29.56873200,1598608559999,338346.07477738,445,12.70488400,145380.14675874,0
1598608560000,11444.98000000,11454.60000000,11444.98000000,11454.43000000,33.43819900,1598608619999,382874.05424979,651,20.17013900,230944.11683888,0
1598608620000,11454.46000000,11459.99000000,11448.87000000,11451.39000000,71.28586600,1598608679999,816546.07520355,884,16.43760600,188307.76433137,0
1598608680000,11451.39000000,11451.39000000,11445.78000000,11450.36000000,18.33030100,1598608739999,209873.76718166,492,8.30647900,95105.02530152,0
1598608740000,11450.36000000,11450.36000000,11438.77000000,11440.24000000,39.72875600,1598608799999,454688.75626710,848,15.50656100,177476.36779635,0
1598608800000,11440.24000000,11447.75000000,11440.24000000,11446.26000000,26.51861600,1598608859999,303543.25518743,501,17.62466900,201745.75521462,0
1598608860000,11446.25000000,11447.61000000,11441.05000000,11441.09000000,47.69597600,1598608919999,545831.83548194,644,15.45748400,176880.20183832,0
1598608920000,11441.09000000,11441.09000000,11429.55000000,11429.93000000,27.75512300,1598608979999,317337.09641840,504,9.24192200,105658.30572914,0
1598608980000,11429.93000000,11429.93000000,11422.72000000,11423.33000000,23.69762600,1598609039999,270777.19680208,423,6.77170500,77378.23353843,0
1598609040000,11423.33000000,11423.33000000,11413.92000000,11421.05000000,53.48984300,1598609099999,610776.66611846,634,18.55622800,211884.12728393,0
1598609100000,11421.05000000,11425.92000000,11417.00000000,11417.58000000,22.59141100,1598609159999,258020.05959793,485,12.35099000,141063.23238769,0
1598609160000,11417.57000000,11421.40000000,11414.89000000,11420.01000000,55.17175600,1598609219999,629993.06499572,561,30.65979100,350124.50340599,0
1598609220000,11420.00000000,11422.54000000,11415.78000000,11416.45000000,45.34303600,1598609279999,517805.14037482,750,12.82610600,146475.90156864,0
1598609280000,11416.44000000,11420.16000000,11384.64000000,11416.74000000,183.63210000,1598609339999,2094674.56706177,1641,41.83262100,477355.14144009,0
1598609340000,11416.74000000,11427.00000000,11416.71000000,11423.54000000,51.68753900,1598609399999,590404.92739059,794,33.54760000,383187.51827956,0
1598609400000,11423.54000000,11423.54000000,11417.44000000,11418.21000000,22.88587400,1598609459999,261361.73182810,505,11.96768800,136674.18379644,0
1598609460000,11417.74000000,11418.87000000,11412.47000000,11418.01000000,22.56876700,1598609519999,257626.86570673,430,16.16485600,184523.77778659,0
1598609520000,11418.01000000,11424.69000000,11418.00000000,11422.75000000,26.66724300,1598609579999,304588.02926380,586,13.05808400,149139.55676943,0
1598609580000,11422.76000000,11430.00000000,11422.62000000,11429.62000000,26.17189800,1598609639999,299050.53760800,450,10.53836000,120402.04981849,0
1598609640000,11429.62000000,11429.63000000,11424.86000000,11428.99000000,27.96717900,1598609699999,319617.58345749,425,12.34210300,141054.65338890,0
1598609700000,11428.99000000,11429.57000000,11419.34000000,11420.25000000,31.77236700,1598609759999,362995.04431365,472,7.66539100,87570.61788562,0
1598609760000,11420.25000000,11435.00000000,11419.99000000,11434.99000000,53.77922300,1598609819999,614604.55304545,630,39.54339500,451933.29720087,0
1598609820000,11434.99000000,11452.00000000,11434.99000000,11445.56000000,60.55759900,1598609879999,693134.45636786,857,32.02864700,366514.01541701,0
1598609880000,11445.57000000,11446.94000000,11438.63000000,11442.14000000,44.27834600,1598609939999,506670.22840325,673,11.52533900,131881.40510981,0
1598609940000,11442.15000000,11442.15000000,11434.69000000,11436.15000000,30.23476700,1598609999999,345888.36536124,416,6.61444400,75665.59471576,0
1598610000000,11436.16000000,11436.82000000,11420.62000000,11426.04000000,52.10834100,1598610059999,595420.28973222,683,27.43099100,313394.60763225,0
1598610060000,11426.05000000,11442.28000000,11426.04000000,11441.53000000,135.33752400,1598610119999,1547765.12862905,872,82.77972200,946485.07856624,0
1598610120000,11441.53000000,11442.11000000,11428.38000000,11429.43000000,54.81235000,1598610179999,626814.90209351,750,18.25120900,208725.43953579,0
