timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1673950140000,21145.19000000,21147.51000000,21126.01000000,21146.59000000,393.36429000,1673950319999,8314484.77106450,10914,191.59315000,4049850.83149290,0
1673950320000,21146.60000000,21169.79000000,21141.76000000,21157.00000000,555.51787000,1673950499999,11752652.88422400,12581,311.50823000,6590442.71857380,0
1673950500000,21157.00000000,21159.92000000,21136.91000000,21139.15000000,386.63437000,1673950679999,8176475.85430140,9687,150.31590000,3179125.43517090,0
1673950680000,21140.13000000,21163.31000000,21137.62000000,21147.58000000,395.07465000,1673950859999,8355194.33464780,10644,208.75852000,4414956.05024920,0
1673950860000,21146.84000000,21154.77000000,21131.77000000,21134.06000000,330.57951000,1673951039999,6989725.79854340,9195,151.19737000,3197046.58880250,0
1673951040000,21134.74000000,21136.50000000,21100.00000000,21110.88000000,662.47641000,1673951219999,13992258.64303940,16300,278.46764000,5882219.39714510,0
1673951220000,21111.02000000,21126.32000000,21096.37000000,21122.71000000,812.41923000,1673951399999,17151636.17565720,16446,358.49636000,7569193.38581370,0
1673951400000,21123.74000000,21134.60000000,21102.62000000,21113.69000000,499.55872000,1673951579999,10549300.61403450,12230,243.52914000,5142907.51647120,0
1673951580000,21112.27000000,21129.17000000,21103.01000000,21104.17000000,316.22895000,1673951759999,6678033.53676080,9863,164.72451000,3478836.95213970,0
1673951760000,21104.18000000,21110.49000000,21082.48000000,21095.16000000,580.46114000,1673951939999,12245760.40670950,13543,269.52102000,5686179.21537370,0
1673951940000,21095.16000000,21122.20000000,21091.00000000,21117.95000000,369.13849000,1673952119999,7792199.40198620,10590,215.12638000,4541283.24890220,0
1673952120000,21118.03000000,21126.20000000,21104.21000000,21113.55000000,299.59523000,1673952299999,6325733.25539710,9329,130.82670000,2762279.11986840,0
1673952300000,21113.55000000,21129.00000000,21109.50000000,21126.28000000,242.90589000,1673952479999,5130532.48274030,8672,140.16784000,2960577.85492330,0
1673952480000,21126.29000000,21132.92000000,21120.53000000,21130.50000000,240.95947000,1673952659999,5090653.33245440,8446,128.56292000,2716157.82902280,0
1673952660000,21131.31000000,21143.00000000,21123.53000000,21140.39000000,293.55983000,1673952839999,6204515.23172480,9392,164.60501000,3479167.65321900,0
1673952840000,21140.39000000,21153.01000000,21130.48000000,21145.44000000,377.00757000,1673953019999,7971057.90755410,10819,207.60738000,4389572.51457170,0
1673953020000,21146.18000000,21149.22000000,21127.71000000,21129.69000000,254.57437000,1673953199999,5381376.34925280,9377,108.96267000,2303447.13375320,0
1673953200000,21130.43000000,21139.46000000,21103.00000000,21124.12000000,472.10216000,1673953379999,9970429.03227310,14100,226.82219000,4790246.74639440,0
1673953380000,21123.53000000,21143.20000000,21122.78000000,21128.04000000,486.43971000,1673953559999,10279145.59487650,11600,265.13975000,5602815.57474600,0
1673953560000,21129.03000000,21151.99000000,21128.04000000,21146.05000000,420.44708000,1673953739999,8889402.28920380,11127,218.19094000,4613316.90794320,0
1673953740000,21146.21000000,21158.80000000,21145.80000000,21152.69000000,413.18895000,1673953919999,8739962.06509860,11407,213.02277000,4506090.72259340,0
1673953920000,21152.69000000,21154.28000000,21125.55000000,21145.63000000,374.78161000,1673954099999,7921928.76451130,10860,183.29340000,3874281.95483160,0
1673954100000,21145.63000000,21160.15000000,21140.78000000,21158.16000000,316.43816000,1673954279999,6692605.64303770,10350,188.48708000,3986693.95491080,0
1673954280000,21159.14000000,21166.99000000,21150.00000000,21158.48000000,339.57942000,1673954459999,7184761.30924070,10985,168.30183000,3561051.74286870,0
